id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50021882,Bright two bedroom space with bathroom,30844161,Dayna,,Easton,51.46777,-2.56321,Private room,195,1,11,2021-11-14,0.58,3,0,0,
50063468,Beautiful cosy house with patio and free parking,20726100,Julie F.,,Easton,51.46762,-2.5524,Entire home/apt,100,10,1,2021-12-27,0.08,1,0,0,
50083368,The Stylish Jewel of Central Bristol - Garden,152788806,Pass The Property,,Central,51.46229,-2.59083,Entire home/apt,600,2,5,2022-04-24,0.29,21,81,3,
50085925,Stylish 2 Bed in Central Bristol - Garden,152788806,Pass The Property,,Central,51.46362,-2.59119,Entire home/apt,155,2,12,2022-08-14,0.65,21,75,8,
50088942,"Modern, light eco flat in central Bristol",166444012,Klein,,Ashley,51.46723,-2.58103,Entire home/apt,79,2,14,2022-10-23,0.76,1,8,7,
50111767,Short Stay Bristol - Stapleton 3 Apartment,90684209,Neil,,Easton,51.46931,-2.56501,Entire home/apt,65,1,8,2022-10-10,0.43,16,350,1,
50142415,Stylish Flat in Beautiful Clifton Street,48240870,William,,Clifton,51.45601,-2.6145,Entire home/apt,85,3,45,2022-12-06,2.39,1,68,33,
50142805,Spare room - Gloucester Road & Southmead hospital,31872778,Claire,,Horfield,51.49396,-2.58664,Private room,45,1,18,2022-05-05,0.95,1,0,10,
50164199,Charming flat with private patio in Clifton,404843870,Caroline,,Clifton,51.45845,-2.62347,Entire home/apt,106,1,34,2022-12-19,1.81,1,318,21,
50167938,Beautiful family home with garden in Bishopston,5208349,Amanda,,Bishopston & Ashley Down,51.4826,-2.58889,Entire home/apt,177,3,3,2022-08-22,0.35,1,141,3,
50237273,"Jungle eco-house room, Greenbank",8521301,Zowie,,Eastville,51.46917,-2.55155,Private room,40,4,9,2022-05-23,0.52,1,86,2,
50238409,"(F1) Smart Central Flat, PARKING sleeps 2 to 4",396199459,Donny Thomas,,Ashley,51.46151,-2.58529,Entire home/apt,101,2,99,2022-12-16,5.78,7,357,77,
50239552,Stunning residential home close to city centre,99891828,Thomas,,Windmill Hill,51.44014,-2.59278,Entire home/apt,180,30,0,,,1,193,0,
50240578,Stunning Clifton flat in amazing central location,405588386,Yolanta,,Clifton Down,51.46338,-2.60616,Entire home/apt,132,1,75,2022-12-21,4.04,1,322,48,
50247154,Bristol 2-Bed House w/free parking 🏡,38726604,Lucy,,Stoke Bishop,51.48492,-2.64961,Entire home/apt,195,28,1,2021-09-11,0.06,1,63,0,
50281651,City Centre King Bedroom+ Private Bathroom,405948865,Roberto,,Ashley,51.46239,-2.58499,Private room,75,1,20,2022-10-12,1.11,1,84,6,
50336157,Stunning 3 Bedroom Queen Square Apartment,76074723,Dave,,Central,51.44942,-2.59416,Entire home/apt,130,2,69,2022-12-11,4.66,8,80,53,
50338317,Great views in a lovely bright welcoming home. Lu,25066739,Fran,,Avonmouth & Lawrence Weston,51.4955897004164,-2.650350071489811,Private room,90,1,2,2022-09-22,0.52,4,365,2,
50378301,Stylish House ⭐️ Short walk - park & Gloucester Rd!,191249657,Kate,,Bishopston & Ashley Down,51.48435,-2.59327,Entire home/apt,178,1,176,2022-12-19,10.25,2,260,129,
50396547,St werburgh’s,407120628,Phil,,Ashley,51.46916,-2.57061,Private room,106,1,25,2022-10-30,1.45,1,180,11,
50427240,"Christmas getaway, stone barn in nature reserve",32124205,Natalie,,Brislington East,51.43907,-2.53153,Entire home/apt,700,3,6,2022-06-04,0.34,1,265,2,
50432327,Your Apartment The Nook,125651447,Your Apartment,,Westbury-on-Trym & Henleaze,51.47882,-2.6076,Entire home/apt,90,1,10,2022-09-18,0.55,67,357,3,
50442884,Stunning Georgian apartment in historic Clifton,12143319,Eirwen,,Clifton,51.45553,-2.61266,Entire home/apt,321,2,37,2022-12-04,2.53,1,177,27,
50458106,Roof Terrace Flat On Bright&Vibrant Gloucester Rd,193830262,Laura,,Redland,51.47603,-2.59187,Entire home/apt,89,2,29,2022-03-03,1.82,1,0,11,
50478135,Spacious House with Garden and Hot-tub,65192629,Hopewell,,Knowle,51.42969,-2.56109,Entire home/apt,344,2,34,2022-08-26,1.86,141,0,13,
50517872,Spacious 2 bed flat with free parking in Redland,407658048,Sebastian,,Cotham,51.46456,-2.60226,Entire home/apt,270,2,18,2022-09-22,1.03,2,73,10,
50556131,Your Apartment Kellway Avenue,125651447,Your Apartment,,Redland,51.47993,-2.60463,Entire home/apt,89,1,3,2022-07-29,0.24,67,357,2,
